experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	k562_r	hepg2_r	sknsh_r	time_s	description
016_ccre_rc_fantom_motif	0.8320	0.9313	0.9244	0.8658	0.8317	0.9316	0.9058	0.9101	0.9469	0.9314	0.8176	0.8012	0.9078	0.9319	0.8907	0.8870	0.8981	0.8871	2731.5	67.5k cCRE-fwd + 67.5k cCRE-RC + 7.5k FANTOM5 + 7.5k motif, seed=15
017_dels_only	0.8187	0.9171	0.9080	0.8499	0.8186	0.9174	0.8929	0.8868	0.9238	0.9185	0.8049	0.7856	0.8941	0.9174	0.8753	0.8731	0.8827	0.8696	2348.4	dELS-only cCREs (67.5k fwd + 67.5k diff RC) + 15k motif, seed=16
018_ccre_gc_strat	0.8219	0.9202	0.9118	0.8629	0.8216	0.9205	0.8897	0.8985	0.9423	0.9152	0.8074	0.7883	0.8870	0.9208	0.8791	0.8739	0.8859	0.8877	3793.6	cCREs uniform-sampled across 30 GC bins (mixed strand) + 15k motif, seed=17
019_synth_homotypic	0.8329	0.9290	0.9214	0.8654	0.8327	0.9294	0.9053	0.9078	0.9450	0.9289	0.8188	0.7999	0.9044	0.9295	0.8893	0.8856	0.8967	0.8857	3783.7	015 base + 15k homotypic cluster synthetic (3x same motif at ~50/100/150), seed=18
020_wide_ccres	0.8307	0.9281	0.9204	0.8661	0.8305	0.9283	0.9008	0.9099	0.9448	0.9284	0.8165	0.7983	0.9011	0.9286	0.8880	0.8851	0.8953	0.8845	4129.6	cCREs >=300bp wide (mixed strand) + 15k motif, seed=19
021_ratio_95_5	0.8297	0.9283	0.9213	0.8637	0.8295	0.9286	0.9058	0.9038	0.9447	0.9284	0.8156	0.7986	0.9028	0.9288	0.8878	0.8847	0.8950	0.8838	3434.6	142.5k unique cCRE (mixed strand) + 7.5k motif (95/5 ratio), seed=20
022_repro_015	0.8294	0.9281	0.9207	0.8645	0.8291	0.9284	0.9028	0.9068	0.9444	0.9296	0.8152	0.7976	0.8997	0.9286	0.8875	0.8847	0.8947	0.8832	4146.5	REPLICATE of 015 with seed=21 (noise/reproducibility test)
023_kitchen_sink	0.8298	0.9286	0.9212	0.8654	0.8298	0.9291	0.9051	0.9085	0.9443	0.9310	0.8161	0.7984	0.9034	0.9290	0.8886	0.8856	0.8951	0.8852	3809.0	60k cCRE fwd+60k diff RC + 7.5k FANTOM fwd+7.5k diff RC + 10k motif+5k random, seed=22
024_synth_3way	0.8279	0.9256	0.9186	0.8637	0.8276	0.9258	0.9020	0.9074	0.9449	0.9266	0.8134	0.7955	0.9007	0.9262	0.8861	0.8831	0.8930	0.8825	3425.7	015 base + 5k motif + 5k uniform random + 5k homotypic cluster synthetic (3-source), seed=23
025_paired_rc_fantom	0.8317	0.9295	0.9224	0.8662	0.8314	0.9297	0.9023	0.9072	0.9454	0.9289	0.8175	0.8000	0.9029	0.9300	0.8889	0.8856	0.8953	0.8866	4144.6	60k cCRE-fwd + 60k same cCRE-RC paired + 7.5k FANTOM-fwd + 7.5k diff FANTOM-RC + 15k motif, seed=24
026_synth_dishuffle	0.8310	0.9294	0.9231	0.8666	0.8308	0.9298	0.9050	0.9047	0.9470	0.9310	0.8168	0.8003	0.9069	0.9300	0.8895	0.8853	0.8961	0.8856	4751.6	015 base + 15k dinucleotide-shuffled cCREs as synthetic, seed=25
027_final_combo	0.8289	0.9266	0.9197	0.8623	0.8285	0.9270	0.9026	0.9074	0.9397	0.9290	0.8143	0.7974	0.9006	0.9271	0.8865	0.8841	0.8932	0.8825	3792.6	60k cCRE-fwd + 60k diff cCRE-RC + 7.5k FANTOM-fwd + 7.5k diff FANTOM-RC + 15k motif, seed=26
028_repro_016	0.8299	0.9272	0.9197	0.8630	0.8298	0.9277	0.9032	0.9040	0.9441	0.9276	0.8160	0.7974	0.9015	0.9276	0.8870	0.8841	0.8943	0.8826	2725.0	REPLICATE of 016 with seed=27 (noise test of best recipe)
029_repro_015b	0.8313	0.9285	0.9212	0.8655	0.8311	0.9287	0.9024	0.9085	0.9461	0.9280	0.8171	0.7990	0.9038	0.9290	0.8886	0.8844	0.8956	0.8858	3451.7	REPLICATE of 015 with seed=28 (3rd noise replicate of best recipe family)
030_final_paired	0.8288	0.9281	0.9216	0.8646	0.8284	0.9284	0.9048	0.9102	0.9449	0.9309	0.8145	0.7986	0.9032	0.9286	0.8883	0.8855	0.8951	0.8842	4156.5	FINAL: 012 recipe (67.5k cCRE x 2 paired strands + 15k motif), seed=29
