experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
021_mix_3way_dhs_ccre_uniform	0.0481	0.0481	0.0469	0.0516	0.0481	0.0472	0.0270	0.0919	0.0516	0.0341	0.0472	0.0469	0.0282	0.0481	0.0475	29	16.7k dhs + 16.7k cCRE + 16.7k uniform. Diluting uniform hurt mean_r
022_mix_30dhs_70uniform	0.0465	0.0467	0.0449	0.0501	0.0467	0.0457	0.0256	0.1122	0.0501	0.0320	0.0457	0.0449	0.0218	0.0465	0.0471	26	15k dhs + 35k uniform (30/70). Below 33/67
023_dhs_ultra_specific	0.0451	0.0450	0.0430	0.0492	0.0450	0.0438	0.0342	0.0356	0.0492	0.0335	0.0438	0.0430	0.0272	0.0451	0.0416	36	DHS weighted by 1/numsamples (vs 1/sqrt). Too narrow, hurt eval_01
024_tss_proximal	0.0378	0.0378	0.0343	0.0385	0.0378	0.0374	0.0216	0.0492	0.0385	0.0282	0.0374	0.0343	0.0200	0.0378	0.0350	34	Protein-coding GENCODE TSS-centered windows. Too biased toward promoter architecture
025_dhs_chrom_balanced_uniform	0.0451	0.0452	0.0432	0.0511	0.0452	0.0441	0.0284	0.1126	0.0511	0.0351	0.0441	0.0432	0.0249	0.0451	0.0470	31	Chrom-balanced dhs_specific 330niform 67025_dhs_chrom_balanced_uniform	0.0451	0.0452	0.0432	0.0511	0.0452	0.0441	0.0284	0.1126	0.0511	0.0351	0.0441	0.0432	0.0249	0.0451	0.0470	31	Chrom-balanced dhs_specific 33% + uniform 67%. Slightly below 33/67 weighted
026_dhs_quality_filter_mix	0.0397	0.0400	0.0397	0.0428	0.0400	0.0391	0.0265	0.1122	0.0428	0.0302	0.0391	0.0397	0.0235	0.0397	0.0425	37	DHS filtered to nsamp<=10 AND signal>median + uniform. Over-restrictive
027_dhs_uniform_gc_matched	0.0444	0.0445	0.0441	0.0521	0.0445	0.0437	0.0219	0.0893	0.0521	0.0329	0.0437	0.0441	0.0236	0.0444	0.0447	26	33dhs+67 uniform with GC=46% (genomic). eval_08 dropped from 0.11 to 0.09
028_mix_65dhs_35uniform	0.0479	0.0480	0.0463	0.0510	0.0480	0.0472	0.0307	0.0925	0.0510	0.0327	0.0472	0.0463	0.0311	0.0479	0.0477	43	32.5k dhs + 17.5k uniform (65/35). eval_07,13 up but eval_08 down
029_best_bio_mix_uniform	0.0446	0.0449	0.0442	0.0510	0.0449	0.0437	0.0265	0.1109	0.0510	0.0322	0.0437	0.0442	0.0254	0.0446	0.0466	33	8.3k dhs + 8.3k cCRE_high + 33.3k uniform. Mixing bio sources hurt
030_final_33dhs_67uniform_seed1	0.0459	0.0461	0.0447	0.0531	0.0461	0.0455	0.0258	0.1087	0.0531	0.0302	0.0455	0.0447	0.0250	0.0459	0.0472	27	Same recipe as Exp 019 (33/67) but seed=1. Validates winning approach across seeds
